species,name,group
Dog,German Shepherd/Australian Cattle Dog,Herding
Dog,English Cocker Spaniel Mix,Sporting
Dog,Dachshund/Pug,Toy; Hound
Dog,Miniature Schnauzer/Shih Tzu,Toy; Terrier
Dog,Harrier,Hound
Dog,Pointer/Staffordshire,Sporting; Terrier
Dog,Australian Shepherd/Dalmatian,Non-Sporting; Herding
Dog,Labrador Retriever/Australian Shepherd,Sporting; Herding
Dog,Chihuahua Longhair/Cairn Terrier,Toy; Terrier
Dog,Cairn Terrier/Dachshund,Hound; Terrier
Dog,Belgian Tervuren/German Shepherd,Herding
Dog,Pug Mix,Toy
Dog,Chihuahua Longhair/Dachshund Longhair,Hound; Toy
Dog,Anatol Shepherd/Catahoula,Toy; Working
Dog,Yorkshire Terrier/Maltese,Toy
Dog,Great Dane/German Shepherd,Herding; Working
Dog,Australian Kelpie/Pit Bull,Terrier
Dog,Golden Retriever/Pit Bull,Sporting; Terrier
Dog,Basenji/Jack Russell Terrier,Hound; Terrier
Dog,Australian Kelpie Mix,Terrier
Dog,Black/Tan Hound Mix,Herding; Hound
Dog,Dachshund/Miniature Pinscher,Toy; Hound
Dog,Border Collie/Basenji,Herding; Hound
Dog,Toy Fox Terrier/Dachshund,Hound; Toy
Dog,Pointer/Border Collie,Sporting; Herding
Dog,Chihuahua Shorthair,Toy
Dog,Rat Terrier/Australian Cattle Dog,Herding; Terrier
Dog,Shetland Sheepdog,Herding
Dog,Belgian Malinois,Herding
Dog,British Shorthair Mix,Sporting
Dog,Boxer/Chow Chow,Non-Sporting; Working
Dog,Basset Hound/Beagle,Hound
Dog,Great Pyrenees/Boxer,Working
Dog,American Pit Bull Terrier/American Bulldog,Hound; Terrier
Dog,Yorkshire Terrier/Border Terrier,Toy; Terrier
Dog,Anatol Shepherd/Border Collie,Herding; Working
Dog,Bluetick Hound,Hound
Dog,Swiss Hound/Pit Bull,Hound; Terrier
Dog,Anatol Shepherd Mix,Working
Dog,Harrier/Pit Bull,Hound; Terrier
Dog,Norwich Terrier/Border Terrier,Terrier
Dog,Swedish Vallhund/Miniature Poodle,Herding; Toy
Dog,German Shorthair Pointer/Brittany,Sporting
Dog,American Staffordshire Terrier/Australian Cattle Dog,Herding; Terrier
Dog,Dalmatian/Pointer,Non-Sporting; Sporting
Dog,German Pinscher/Whippet,Hound; Working
Dog,Basset Hound/Dachshund,Hound
Dog,Boxer/Staffordshire,Terrier; Working
Dog,Boxer/Great Dane,Working
Dog,German Shepherd,Herding
Dog,Cardigan Welsh Corgi/Miniature Pinscher,Herding; Toy
Dog,Labrador Retriever/Blue Lacy,Sporting; Herding
Dog,Beauceron Mix,Herding
Dog,Siberian Husky/Rottweiler,Working
Dog,Great Pyrenees/St. Bernard Rough Coat,Working
Dog,American Bulldog/Blue Lacy,Herding; Hound
Dog,Ocicat Mix,Sporting
Dog,Dachshund/American Staffordshire Terrier,Hound; Terrier
Dog,Jack Russell Terrier Mix,Terrier
Dog,English Springer Spaniel/Cardigan Welsh Corgi,Sporting; Herding
Dog,Basset Hound/Pointer,Sporting; Hound
Dog,Dachshund/Pit Bull,Hound; Terrier
Dog,Miniature Poodle/Dachshund,Hound; Toy
Dog,Skye Terrier Mix,Terrier
Dog,Jack Russell Terrier/Chihuahua Shorthair,Toy; Terrier
Dog,Basenji/Australian Cattle Dog,Herding; Hound
Dog,Chinese Sharpei/Boxer,Toy; Working
Dog,Silky Terrier Mix,Toy
Dog,English Coonhound/Australian Cattle Dog,Herding; Hound
Dog,Pointer/Boxer,Sporting; Working
Dog,Pixiebob Shorthair Mix,Sporting
